City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
173,Mahebourg,MU,2021-11-05 02:12:49,-20.4081,57.7,72.25,83,11,5.91
174,Rawson,AR,2021-11-05 02:12:46,-43.3002,-65.1023,55.98,27,3,4.81
175,Nanchang,CN,2021-11-05 02:17:42,28.6833,115.8833,67.26,96,100,0.83
176,Chuy,UY,2021-11-05 02:13:24,-33.6971,-53.4616,65.41,97,53,9.44
177,High Level,CA,2021-11-05 02:17:42,58.5169,-117.136,35.71,87,75,5.75
178,Coahuayana,MX,2021-11-05 02:14:06,18.7333,-103.6833,76.55,88,88,2.06
179,Amudat,UG,2021-11-05 02:17:43,1.95,34.95,69.84,57,60,3.18
180,Petropavlovsk-Kamchatskiy,RU,2021-11-05 02:13:05,53.0452,158.6483,34.39,51,20,4.47
181,Henties Bay,NA,2021-11-05 02:17:43,-22.116,14.2845,57.74,94,35,5.28
182,Santa Fe,AR,2021-11-05 02:17:43,-31.6333,-60.7,69.03,88,100,1.99
183,Oranzherei,RU,2021-11-05 02:17:44,45.8476,47.5663,42.76,61,88,19.15
184,Kawalu,ID,2021-11-05 02:22:48,-7.3817,108.2082,79.57,78,100,0.89
185,Ravensburg,DE,2021-11-05 02:17:44,47.7833,9.6167,42.13,95,90,4.0
186,Lisakovsk,KZ,2021-11-05 02:17:44,52.5369,62.4936,24.04,38,9,13.29
187,Djenne,ML,2021-11-05 02:17:44,13.9061,-4.5533,86.13,25,6,3.51
188,Gryazovets,RU,2021-11-05 02:17:45,58.88,40.2525,39.33,95,97,6.71
189,Esperance,AU,2021-11-05 02:22:48,-33.8667,121.9,62.02,73,91,18.14
190,Marktoberdorf,DE,2021-11-05 02:17:45,47.7833,10.6167,38.05,89,35,5.75
191,Cervo,ES,2021-11-05 02:17:45,43.6702,-7.4101,51.19,78,43,11.01
192,Kui Buri,TH,2021-11-05 02:17:46,12.0828,99.8543,82.4,72,99,5.12
193,Pandan Niog,PH,2021-11-05 02:17:46,6.2282,120.5631,83.41,74,44,4.32
194,Mailsi,PK,2021-11-05 02:17:46,29.8003,72.1758,68.92,28,0,7.31
195,Port-Cartier,CA,2021-11-05 02:17:46,50.0334,-66.8654,35.74,66,100,6.62
196,Bulgan,MN,2021-11-05 02:17:47,48.8125,103.5347,8.46,72,100,2.95
197,Acarau,BR,2021-11-05 02:17:47,-2.8856,-40.12,80.28,80,18,10.63
198,Bethel,US,2021-11-05 02:11:21,41.3712,-73.414,42.04,73,1,0.0
199,Broken Hill,AU,2021-11-05 02:12:49,-31.95,141.4333,77.59,26,63,8.21
200,Vao,NC,2021-11-05 02:13:31,-22.6667,167.4833,68.92,65,100,15.37
201,Charlottetown,CA,2021-11-05 02:15:48,46.2352,-63.1267,37.4,66,75,0.0
202,Port Macquarie,AU,2021-11-05 02:17:47,-31.4333,152.9167,71.56,67,100,13.35
203,Fortuna,US,2021-11-05 02:22:49,40.5982,-124.1573,55.42,71,1,0.0
204,Villanueva,HN,2021-11-05 02:17:48,15.3167,-88.0,75.04,88,40,0.0
205,Kavaratti,IN,2021-11-05 02:17:48,10.5669,72.642,81.73,78,100,11.03
206,Tateyama,JP,2021-11-05 02:17:49,34.9833,139.8667,70.14,60,6,9.33
207,Abu Dhabi,AE,2021-11-05 02:17:19,24.4667,54.3667,77.02,83,0,1.14
208,Sao Filipe,CV,2021-11-05 02:22:50,14.8961,-24.4956,78.8,73,43,5.59
209,Arraial Do Cabo,BR,2021-11-05 02:22:50,-22.9661,-42.0278,70.65,89,4,4.21
210,Borisovka,RU,2021-11-05 02:17:49,50.6236,35.9903,51.94,95,67,10.13
211,Half Moon Bay,US,2021-11-05 02:13:46,37.4636,-122.4286,62.71,80,1,3.44
212,Viedma,AR,2021-11-05 02:12:52,-40.8135,-62.9967,49.93,46,3,4.36
213,Puerto Palomas,MX,2021-11-05 02:17:50,31.7667,-107.6167,56.53,42,0,5.55
214,Beyneu,KZ,2021-11-05 02:14:33,45.3167,55.2,31.32,64,16,12.75
215,Dikson,RU,2021-11-05 02:22:51,73.5069,80.5464,16.39,83,53,17.92
216,Christchurch,NZ,2021-11-05 02:17:50,-43.5333,172.6333,62.91,58,75,8.01
217,Murray Bridge,AU,2021-11-05 02:17:50,-35.1167,139.2667,86.31,21,55,6.76
218,Biak,ID,2021-11-05 02:17:50,-0.9131,122.8766,80.89,78,100,7.4
219,Gotsu,JP,2021-11-05 02:17:51,35.0,132.2167,60.94,60,28,9.22
220,Acobamba,PE,2021-11-05 02:17:51,-11.3525,-75.6594,52.86,89,100,2.48
221,Tessalit,ML,2021-11-05 02:17:51,20.1986,1.0114,77.56,15,0,1.23
222,Domoni,KM,2021-11-05 02:17:52,-12.2569,44.5319,77.36,84,9,2.42
223,San Cristobal,VE,2021-11-05 02:14:26,7.7669,-72.225,69.98,96,25,2.13
224,Lyngseidet,NO,2021-11-05 02:17:52,69.5763,20.2189,38.46,85,68,14.58
225,Bathsheba,BB,2021-11-05 02:13:33,13.2167,-59.5167,81.21,78,40,16.11
226,Skagen,DK,2021-11-05 02:16:49,57.7209,10.5839,42.28,74,1,12.08
227,Los Llanos De Aridane,ES,2021-11-05 02:17:52,28.6585,-17.9182,65.12,82,90,8.99
228,Tocopilla,CL,2021-11-05 02:16:28,-22.092,-70.1979,63.72,72,6,6.4
229,Teya,RU,2021-11-05 02:17:53,60.3778,92.6267,11.08,84,100,14.27
230,Saskylakh,RU,2021-11-05 02:22:52,71.9167,114.0833,9.32,90,100,22.62
231,Sungaipenuh,ID,2021-11-05 02:17:53,-2.0833,101.3833,69.87,89,100,2.64
232,Mgandu,TZ,2021-11-05 02:17:54,-5.95,34.1333,63.68,65,1,4.68
233,Cidreira,BR,2021-11-05 02:22:52,-30.1811,-50.2056,68.7,93,60,16.17
234,Gombe,NG,2021-11-05 02:17:54,10.2897,11.1673,78.6,20,87,4.85
235,Bontang,ID,2021-11-05 02:17:54,0.1333,117.5,79.72,87,100,6.31
236,Dharchula,IN,2021-11-05 02:17:55,29.85,80.5333,54.39,35,0,5.91
237,Rajmahal,IN,2021-11-05 02:17:55,25.05,87.8333,70.5,61,57,2.95
238,Riyadh,SA,2021-11-05 02:13:41,24.6877,46.7219,66.34,26,0,1.81
239,Wakkanai,JP,2021-11-05 02:17:55,45.4094,141.6739,49.98,71,40,9.22
240,Alpena,US,2021-11-05 02:17:55,45.0617,-83.4327,37.11,86,1,0.0
241,Sindor,RU,2021-11-05 02:17:56,62.8629,51.8905,33.06,98,100,7.94
242,Buin,CL,2021-11-05 02:17:56,-33.7333,-70.75,64.74,33,2,5.1
243,Krasnoselkup,RU,2021-11-05 02:17:57,65.7,82.4667,24.94,95,100,20.49
244,Verkhnevilyuysk,RU,2021-11-05 02:17:57,63.4453,120.3167,0.97,85,98,8.61
245,Kovdor,RU,2021-11-05 02:17:57,67.5662,30.4758,32.02,99,100,7.27
246,Maraa,BR,2021-11-05 02:17:57,-1.8333,-65.3667,74.19,95,94,1.52
247,Teahupoo,PF,2021-11-05 02:17:58,-17.8333,-149.2667,80.56,78,27,12.28
248,Santiago,CL,2021-11-05 02:17:44,-33.4569,-70.6483,63.86,38,0,6.91
249,Vostok,RU,2021-11-05 02:17:58,46.4856,135.8833,44.92,52,6,3.71
250,Hasaki,JP,2021-11-05 02:22:54,35.7333,140.8333,66.49,52,0,12.8
251,Chokurdakh,RU,2021-11-05 02:22:54,70.6333,147.9167,-10.08,99,77,8.81
252,Bantou,CN,2021-11-05 02:17:59,26.2151,117.4893,75.07,81,66,1.95
253,Sayat,TM,2021-11-05 02:17:59,38.7839,63.8803,22.87,29,0,12.33
254,Karachi,PK,2021-11-05 02:17:06,24.9056,67.0822,64.22,63,76,0.0
255,Jalu,LY,2021-11-05 02:14:05,29.0331,21.5482,72.21,30,59,9.91
256,Ancud,CL,2021-11-05 02:22:55,-41.8697,-73.8203,47.43,88,7,5.77
257,Lumphat,KH,2021-11-05 02:17:59,13.4878,106.9816,82.63,68,100,4.97
258,Gari,RU,2021-11-05 02:18:00,59.4307,62.3497,29.05,80,74,15.21
259,Lebedinyy,RU,2021-11-05 02:18:00,58.5167,125.5167,4.37,93,100,14.54
260,Zhigansk,RU,2021-11-05 02:13:51,66.7697,123.3711,-10.46,92,57,14.16
261,Toowoomba,AU,2021-11-05 02:18:00,-27.55,151.9667,57.92,87,100,6.35
262,Ust-Maya,RU,2021-11-05 02:22:55,60.4167,134.5333,21.56,84,97,4.56
263,Bambous Virieux,MU,2021-11-05 02:22:56,-20.3428,57.7575,72.21,88,75,3.44
264,Lavrentiya,RU,2021-11-05 02:12:18,65.5833,-171.0,16.11,82,100,11.61
